#Worker threads, throughput, min, max
1 1162661.60000000000000000000 1138841 1175746
16 18665922.80000000000000000000 17786407 20735526
32 24751802.40000000000000000000 24029920 25267762
48 27631656.00000000000000000000 26262736 31373556
64 34510021.60000000000000000000 30982039 35529703
80 36932187.40000000000000000000 31611539 38650338
96 40205379.00000000000000000000 37907363 42003969
112 45975096.80000000000000000000 45783449 46112319
128 46799989.00000000000000000000 46559430 47538796
144 47372533.80000000000000000000 46611320 48912116
160 48072677.80000000000000000000 47518939 49298352
176 48777505.60000000000000000000 47772682 49719701
192 49662477.40000000000000000000 48366773 50046203
208 50135709.60000000000000000000 49387450 50364952
224 50647041.40000000000000000000 50619398 50692545
