#worker threads, throughput, min, max
#./si.exe 5000000 10 thread 100 0 ON 2400 3
1 658123.40000000000000000000 606317 833263
15 7112605.20000000000000000000 6705829 7276818
31 9511798.20000000000000000000 9175521 10065180
47 11085202.40000000000000000000 10581603 11651035
63 11676637.80000000000000000000 11482826 11842277
79 13141490.60000000000000000000 12778531 13542484
95 13996597.80000000000000000000 13852721 14111834
111 14992343.40000000000000000000 14817602 15257717
127 15963577.20000000000000000000 15817189 16088974
143 16736136.20000000000000000000 16601191 16977276
159 17657264.20000000000000000000 17140905 18124667
175 17604363.80000000000000000000 17340761 18104967
191 18021620.40000000000000000000 17396506 18508882
207 18539894.60000000000000000000 18241277 18801141
223 19731409.60000000000000000000 19558237 19862845
