#worker threads, abort_rate, min, max
#./silo.exe 5000000 10 thread 95 0 ON 2400 40 3
1 1639236.20000000000000000000 1555843 1765019
15 22292547.80000000000000000000 21493823 23494823
31 40070908.80000000000000000000 36446755 42316664
47 57902870.40000000000000000000 54635710 59994223
63 76478265.60000000000000000000 68096699 78670684
79 93523999.00000000000000000000 84486723 95943683
95 112353311.80000000000000000000 111065386 114043310
111 130944222.00000000000000000000 130580410 131127356
127 137023724.20000000000000000000 135139199 138278803
143 143434265.80000000000000000000 141676278 145354468
159 148421472.00000000000000000000 147063244 149996630
175 154482419.00000000000000000000 153873260 155200349
191 160033737.40000000000000000000 159720460 160271768
207 165969858.20000000000000000000 165608681 166531253
223 171703943.60000000000000000000 171209693 172036165
