#worker threads, throughput, min, max
#./ermia.exe 5000000 10 thread 50 0 ON 2400 10 3
1 275015.40000000000000000000 257708 331762
15 2619501.60000000000000000000 2533567 2807332
31 2500001.20000000000000000000 2396994 2650842
47 2556915.00000000000000000000 2487381 2595471
63 2322948.40000000000000000000 2285180 2374291
79 2292702.00000000000000000000 2277799 2313417
95 2195300.00000000000000000000 2181784 2225741
111 2129490.80000000000000000000 2109146 2145056
127 2161297.40000000000000000000 2126437 2191158
143 2164865.60000000000000000000 2131735 2241530
159 2167257.40000000000000000000 2131285 2201241
175 2174359.20000000000000000000 2135047 2187753
191 2208539.80000000000000000000 2184208 2228076
207 2188190.60000000000000000000 2166327 2213930
223 2189759.00000000000000000000 2158493 2204690
