#worker threads, abort_rate, min, max
1 1399611.40000000000000000000 1319066 1525808
16 20205363.20000000000000000000 19371272 22004612
32 37370860.00000000000000000000 34767231 40471473
48 53984214.20000000000000000000 51894620 57236673
64 71343955.80000000000000000000 66551693 73786566
80 86579171.20000000000000000000 79419616 89245633
96 105690596.80000000000000000000 105064920 106328906
112 119260718.20000000000000000000 118989426 119571651
128 122295563.60000000000000000000 120620919 123047051
144 124278006.80000000000000000000 123603154 125008637
160 127679816.40000000000000000000 126509558 128087702
176 130041615.40000000000000000000 128974854 130572148
192 134203408.00000000000000000000 133752385 135062680
208 137269251.40000000000000000000 136268459 137933900
224 140829347.00000000000000000000 138696954 143527327
