#worker threads, throughput, min, max
#../si.exe 5000000 10 thread 95 0 ON 2400 3
1 606451.80000000000000000000 544332 763432
27 4033812.20000000000000000000 3877104 4162954
55 2732266.20000000000000000000 2655035 2852250
83 2501079.60000000000000000000 2472371 2540647
111 2348693.80000000000000000000 2317388 2379307
139 2459276.00000000000000000000 2437883 2484199
167 2531998.20000000000000000000 2466274 2607904
195 2708589.40000000000000000000 2682731 2730930
223 2885958.40000000000000000000 2768268 2944639
