#Worker threads, throughput, min, max
1 1850912.20000000000000000000 1849166 1852435
16 18336335.20000000000000000000 17943090 18473614
32 25953516.40000000000000000000 25298350 26408587
48 24551726.80000000000000000000 22606396 26252200
64 29755562.20000000000000000000 27197127 30452494
80 32623989.40000000000000000000 28456539 34109033
96 38241408.60000000000000000000 38154088 38346073
112 42603281.60000000000000000000 42539895 42626602
128 43656246.60000000000000000000 43403733 44553967
144 45627809.00000000000000000000 44300583 46443794
160 45898123.40000000000000000000 45024711 47180288
176 47577652.80000000000000000000 46395459 47923035
192 48186837.40000000000000000000 46670126 48625220
208 49264477.20000000000000000000 49142756 49322377
224 50040321.60000000000000000000 49969968 50099971
