#worker threads, abort_rate, min, max
#../silo.exe 500000 10 thread 50 0 ON 2400 40 3
1 2027579.40000000000000000000 1906148 2068651
27 36503685.80000000000000000000 35900213 36717453
55 45081621.40000000000000000000 44857784 45376959
83 64893520.40000000000000000000 58413724 66562045
111 81497009.80000000000000000000 80874378 82062476
139 86708984.00000000000000000000 86400412 87160236
167 90859130.00000000000000000000 90502279 91480735
195 94210081.40000000000000000000 94139067 94335826
223 97864214.40000000000000000000 96389109 99348128
