#worker threads, throughput, min, max
#./ermia.exe 500 10 thread 100 0 ON 2400 10 3
1 2361684.80000000000000000000 2360064 2363953
15 4784116.00000000000000000000 4760805 4818322
31 2876598.60000000000000000000 2765528 3006201
47 3015080.80000000000000000000 2930729 3139358
63 2659374.00000000000000000000 2604188 2699280
79 2600569.00000000000000000000 2578259 2625779
95 2431570.80000000000000000000 2404913 2465574
111 2385771.80000000000000000000 2374345 2394049
127 2507394.40000000000000000000 2459305 2555640
143 2405894.40000000000000000000 2365865 2489659
159 2540199.00000000000000000000 2477203 2620703
175 2737730.40000000000000000000 2656526 2789239
191 2992264.40000000000000000000 2929438 3060340
207 3200110.60000000000000000000 3159149 3254820
223 3312051.40000000000000000000 3250404 3373529
