#worker threads, throughput, min, max
#../ermia.exe 5000000 10 thread 100 0 ON 2400 10 3
1 528815.60000000000000000000 440052 700150
27 4113765.60000000000000000000 4083306 4141275
55 3000322.00000000000000000000 2896410 3088210
83 2608130.20000000000000000000 2548266 2689655
111 2423768.60000000000000000000 2376999 2471843
139 2641175.40000000000000000000 2633828 2654298
167 2755657.00000000000000000000 2705116 2808359
195 2886827.20000000000000000000 2850807 2922225
223 3041815.20000000000000000000 2977083 3101001
