#worker threads, abort_rate, min, max
1 1280994.00000000000000000000 1195921 1401837
16 18157242.40000000000000000000 17247267 20167951
32 26601477.20000000000000000000 25028359 30962249
48 35753344.40000000000000000000 32112033 38112896
64 41713833.80000000000000000000 37974829 45224840
80 50161770.20000000000000000000 46872622 51956815
96 57054705.00000000000000000000 56942839 57241269
112 60934816.00000000000000000000 60785872 61042321
128 62871267.60000000000000000000 62713665 63146250
144 64439677.00000000000000000000 64151275 64845110
160 65986265.60000000000000000000 65737409 66461872
176 68803163.40000000000000000000 66961125 73987382
192 69245244.20000000000000000000 69081594 69496732
208 70312570.60000000000000000000 70044358 70533187
224 70999778.60000000000000000000 70682302 71355509
