#worker threads, throughput, min, max
#./ermia.exe 5000000 10 thread 95 0 ON 2400 10 3
1 520021.80000000000000000000 445322 633045
15 3917817.40000000000000000000 3613665 4352270
31 2887490.40000000000000000000 2762196 3110375
47 2981671.00000000000000000000 2803516 3058846
63 2612055.00000000000000000000 2466123 2681681
79 2599167.00000000000000000000 2524582 2654510
95 2479283.20000000000000000000 2437169 2525020
111 2444342.00000000000000000000 2396663 2467672
127 2487407.00000000000000000000 2483374 2498142
143 2554862.20000000000000000000 2510352 2610131
159 2595721.00000000000000000000 2540108 2641292
175 2654149.20000000000000000000 2626211 2683507
191 2689120.60000000000000000000 2622970 2741391
207 2733840.00000000000000000000 2667088 2787795
223 2752707.20000000000000000000 2703314 2806098
