#worker threads, throughput, min, max
#./ermia.exe 500 10 thread 95 0 ON 2400 10 3
1 2085673.00000000000000000000 1941924 2124932
15 4578328.80000000000000000000 4553462 4611666
31 2765326.60000000000000000000 2643568 2903410
47 2678346.00000000000000000000 2628611 2739065
63 2325904.60000000000000000000 2308616 2356218
79 2276331.00000000000000000000 2250868 2303298
95 2157496.20000000000000000000 2120818 2178713
111 2089643.40000000000000000000 2040887 2119649
127 2102554.40000000000000000000 2072555 2130552
143 2126485.00000000000000000000 2104412 2167056
159 2113411.00000000000000000000 2094390 2158834
175 2155034.20000000000000000000 2113831 2198837
191 2194240.40000000000000000000 2150036 2223823
207 2210334.60000000000000000000 2193678 2234387
223 2261147.40000000000000000000 2225692 2323859
