#worker threads, throughput, min, max
#./si.exe 500 10 thread 100 0 ON 2400 3
1 2350150.00000000000000000000 2338076 2357498
15 8724422.80000000000000000000 8658848 8775496
31 8589841.40000000000000000000 8388984 8687417
47 11286976.20000000000000000000 11009131 11586105
63 11819177.20000000000000000000 11428181 11980372
79 13028254.00000000000000000000 12873542 13184782
95 12976445.80000000000000000000 12789397 13373751
111 13654406.20000000000000000000 13280734 13922046
127 14638778.40000000000000000000 14578679 14692500
143 12829172.40000000000000000000 12478592 13053229
159 11831162.20000000000000000000 11371180 12143502
175 13427789.20000000000000000000 13009621 13697606
191 15353051.60000000000000000000 15220788 15505313
207 15671478.60000000000000000000 15342931 16135281
223 16727343.40000000000000000000 16382233 16872678
