#worker threads, abort_rate, min, max
#./silo.exe 500 10 thread 95 0 ON 2400 40 3
1 2770352.40000000000000000000 2768274 2773069
15 17137437.80000000000000000000 17083760 17195751
31 10500009.00000000000000000000 10415842 10567201
47 6018986.60000000000000000000 5605303 6645199
63 5573769.80000000000000000000 5498548 5829524
79 5433900.20000000000000000000 5385188 5521956
95 5240327.00000000000000000000 5180297 5309446
111 4931817.80000000000000000000 4924760 4937979
127 4947186.20000000000000000000 4930650 4971285
143 4889865.80000000000000000000 4811707 4931499
159 4882471.40000000000000000000 4852015 4898474
175 4844038.20000000000000000000 4794142 4885088
191 4734325.60000000000000000000 4715147 4749537
207 4656493.80000000000000000000 4624324 4669324
223 4558894.00000000000000000000 4497495 4624802
