#worker threads, abort_rate, min, max
#../silo.exe 500000 10 thread 95 0 ON 2400 40 3
1 2525205.00000000000000000000 2500207 2550734
27 49055272.00000000000000000000 47954377 49973384
55 86207594.20000000000000000000 83850936 89197491
83 126833576.20000000000000000000 126404367 127364357
111 162774506.00000000000000000000 162223988 163091089
139 174665832.60000000000000000000 173401674 176248073
167 187705384.80000000000000000000 186960281 189814417
195 201538224.40000000000000000000 200928906 201950124
223 218514544.00000000000000000000 217939076 218917516
