#Worker threads, throughput, min, max
1 2538986.00000000000000000000 2526328 2577628
16 22475177.40000000000000000000 22240774 22549593
32 31183468.00000000000000000000 30281742 31862392
48 28000072.60000000000000000000 25357382 29756768
64 31807773.20000000000000000000 27955971 34206283
80 34014996.40000000000000000000 31338084 38346614
96 42191063.00000000000000000000 39394187 42987141
112 47879660.80000000000000000000 47821730 47983253
128 48518994.20000000000000000000 48213564 49400252
144 50099856.00000000000000000000 49166150 50719147
160 49477704.20000000000000000000 49440983 49499011
176 50756022.40000000000000000000 49975202 51688168
192 51680550.20000000000000000000 50490270 52144652
208 52346899.00000000000000000000 51594870 52547365
224 52983166.20000000000000000000 52938521 53034366
