#worker thread, throughput, min, max
#./cicada.exe 500000 10 thread 100 0 ON OFF OFF 2400 5 2 E 10 3
1 1286510.00000000000000000000 1230411 1377637
15 18432380.40000000000000000000 17990345 19928033
31 35857390.00000000000000000000 34893436 37192149
47 52606106.20000000000000000000 51986804 54055859
63 70955891.40000000000000000000 69615615 71571870
79 87407131.80000000000000000000 87187922 87682791
95 104615644.40000000000000000000 103416780 105111563
111 120283766.20000000000000000000 120017193 120667262
127 127760986.00000000000000000000 127242356 128515655
143 133878359.20000000000000000000 131744012 135057304
159 140698591.60000000000000000000 139863990 141453963
175 146752060.40000000000000000000 146283107 147033300
191 152041848.00000000000000000000 149896883 153644142
207 158742192.20000000000000000000 157139992 159815092
223 169111121.20000000000000000000 164809227 175041534
