#worker threads, throughput, min, max
#../ermia.exe 500000 10 thread 95 0 ON 2400 10 3
1 1031856.00000000000000000000 986547 1099728
27 4663099.40000000000000000000 4606884 4718559
55 2734385.40000000000000000000 2666625 2788088
83 2357296.60000000000000000000 2323700 2404982
111 2206923.80000000000000000000 2143839 2233629
139 2340433.40000000000000000000 2316536 2364845
167 2460715.40000000000000000000 2372519 2503968
195 2678954.80000000000000000000 2624556 2728988
223 2748994.80000000000000000000 2708057 2800876
