#worker threads, throughput, min, max
#./mocc.exe 500 10 thread 95 0 ON 2400 40 3
1 2553996.40000000000000000000 2550597 2562665
15 11410392.80000000000000000000 11394003 11425136
31 8392091.20000000000000000000 8363448 8450974
47 4625682.00000000000000000000 4125107 4756023
63 3917242.80000000000000000000 3593236 4378365
79 3736043.60000000000000000000 3554771 4301841
95 3600304.00000000000000000000 3507588 3753010
111 3380935.60000000000000000000 3367038 3399046
127 3415388.40000000000000000000 3352418 3496483
143 3607552.60000000000000000000 3525191 3682235
159 3682969.00000000000000000000 3591294 3747243
175 3809472.80000000000000000000 3700421 3905332
191 3552668.20000000000000000000 3494973 3608216
207 3206682.80000000000000000000 3102501 3266960
223 3088839.80000000000000000000 2833422 3294950
