#worker threads, abort_rate, min, max
#./silo.exe 500000 10 thread 100 0 ON 2400 40 3
1 2621088.40000000000000000000 2606860 2631107
15 35415866.80000000000000000000 33694957 35908699
31 64851618.60000000000000000000 64635688 65445092
47 99567565.40000000000000000000 99285331 99761417
63 131671507.80000000000000000000 131338473 131961814
79 162162195.40000000000000000000 161517738 162590360
95 198356244.20000000000000000000 197850303 198694878
111 225930674.20000000000000000000 225274892 226217110
127 233917486.80000000000000000000 233518685 234135681
143 241253649.00000000000000000000 241020961 241418432
159 247805088.00000000000000000000 247581647 248092887
175 255450272.40000000000000000000 254832200 256106675
191 261961612.00000000000000000000 261615787 262108123
207 271107308.80000000000000000000 270973700 271284449
223 279116203.00000000000000000000 278744847 279332889
