#worker threads, throughput, min, max
#./mocc.exe 5000000 10 thread 100 0 ON 2400 40 3
1 1366191.80000000000000000000 1239385 1459678
15 18016301.40000000000000000000 17527353 18209404
31 32508638.20000000000000000000 31033017 37276658
47 49664672.40000000000000000000 47247153 52369601
63 60193043.20000000000000000000 56136131 65653010
79 75423686.00000000000000000000 68100017 78515697
95 91090405.00000000000000000000 89069027 92348673
111 99842219.80000000000000000000 98364107 101492057
127 102206077.80000000000000000000 99981487 103907468
143 101949909.80000000000000000000 100551377 106994255
159 103046260.00000000000000000000 100147073 107317899
175 103894175.20000000000000000000 101099437 108212205
191 107461286.00000000000000000000 101167784 109378175
207 109561780.60000000000000000000 109327009 109773835
223 109514152.40000000000000000000 108683994 111324904
