#worker threads, throughput, min, max
#./si.exe 500000 10 thread 50 0 ON 2400 3
1 795053.60000000000000000000 782145 840426
15 9225873.40000000000000000000 9112653 9502896
31 10170817.80000000000000000000 9974676 10633516
47 10477708.20000000000000000000 10311502 10687841
63 11705430.60000000000000000000 11496140 11941333
79 12267393.20000000000000000000 12057427 12420710
95 13333469.60000000000000000000 13140109 13552502
111 13634532.80000000000000000000 13526634 13806219
127 14086347.40000000000000000000 13889514 14281763
143 14530447.00000000000000000000 14381579 14871511
159 14526998.20000000000000000000 14215710 15019154
175 14685508.80000000000000000000 14444508 14963268
191 14586787.20000000000000000000 14174453 14812978
207 14430403.20000000000000000000 14053398 14713467
223 14758225.20000000000000000000 14593678 15061938
