#worker threads, throughput, min, max
#./mocc.exe 500 10 thread 50 0 ON 2400 40 3
1 1784371.60000000000000000000 1771741 1791216
15 4173322.40000000000000000000 4137212 4213489
31 2680168.80000000000000000000 2656509 2718533
47 1532714.20000000000000000000 1506660 1548046
63 1657380.40000000000000000000 1629479 1669937
79 1244255.20000000000000000000 1095019 1446878
95 1215619.20000000000000000000 1111594 1348910
111 778045.00000000000000000000 757463 798366
127 717341.40000000000000000000 685694 749284
143 696986.00000000000000000000 661496 723602
159 635215.20000000000000000000 611829 677564
175 598457.00000000000000000000 569870 631872
191 599298.40000000000000000000 549843 655255
207 553645.60000000000000000000 543507 575533
223 526444.60000000000000000000 517496 539184
