#worker thread, throughput, min, max
#../cicada.exe 500000 10 thread 50 0 ON OFF OFF 2400 5 2 E 10 3
1 657012.80000000000000000000 625751 701208
27 10545952.80000000000000000000 10495922 10610251
55 11386625.20000000000000000000 11358935 11439669
83 15584252.60000000000000000000 15287617 15692103
111 19607154.20000000000000000000 19459276 19750598
139 22237972.00000000000000000000 22011129 22320766
167 23884987.60000000000000000000 23716924 24015144
195 25578368.60000000000000000000 25421747 25707008
223 27456222.80000000000000000000 27215684 27706415
