#worker threads, abort_rate, min, max
1 1985695.00000000000000000000 1849431 2025170
16 6595095.20000000000000000000 6496923 6698085
32 3715145.80000000000000000000 3668409 3748410
48 1532477.00000000000000000000 1338953 1641362
64 1188813.20000000000000000000 1065782 1315925
80 1064612.20000000000000000000 982660 1176147
96 922987.60000000000000000000 890536 961379
112 814020.80000000000000000000 806429 829891
128 751640.20000000000000000000 742756 763137
144 698080.40000000000000000000 695559 701279
160 659723.80000000000000000000 650835 664014
176 618306.40000000000000000000 608797 627722
192 583197.80000000000000000000 549748 594071
208 569957.00000000000000000000 566750 574077
224 528653.20000000000000000000 496933 540501
