#tuple num, gci, throughput, min, max
100 1 1616411.60000000000000000000 1593971 1625943
1000 1 4800523.00000000000000000000 4792251 4806006
10000 1 5733764.00000000000000000000 5718473 5745368
100000 1 6012828.20000000000000000000 5985488 6047038
1000000 1 4650224.60000000000000000000 4624584 4705191
10000000 1 3928568.40000000000000000000 3894360 3956074
100 10 1615584.80000000000000000000 1596284 1621942
1000 10 4799941.00000000000000000000 4787673 4813155
10000 10 5697820.20000000000000000000 5594179 5762185
100000 10 6025826.40000000000000000000 5985773 6052831
1000000 10 4676594.00000000000000000000 4637944 4701647
10000000 10 3928351.20000000000000000000 3907044 3960805
100 100 1510484.20000000000000000000 1507025 1513347
1000 100 4868680.00000000000000000000 4853230 4880144
10000 100 5728217.40000000000000000000 5711428 5738341
100000 100 6195980.40000000000000000000 6163380 6236892
1000000 100 4766877.40000000000000000000 4733995 4810548
10000000 100 3916242.80000000000000000000 3894439 3933647
100 1000 1426546.80000000000000000000 1423234 1431209
1000 1000 4880048.20000000000000000000 4870603 4885893
10000 1000 5952256.80000000000000000000 5934568 5972895
100000 1000 6237468.40000000000000000000 6198044 6275116
1000000 1000 5284573.80000000000000000000 5180108 5347303
10000000 1000 3823429.80000000000000000000 3782048 3839310
100 10000 1397912.40000000000000000000 1394826 1400786
1000 10000 4698601.40000000000000000000 4682867 4713030
10000 10000 5678424.20000000000000000000 5458977 5780317
100000 10000 5843094.80000000000000000000 5814147 5870130
1000000 10000 4482642.00000000000000000000 4384744 4554519
10000000 10000 3558771.20000000000000000000 3541059 3597875
100 100000 1437262.60000000000000000000 1430694 1440949
1000 100000 3908820.40000000000000000000 3901760 3918249
10000 100000 5175673.80000000000000000000 5146714 5209535
100000 100000 5542785.60000000000000000000 5494949 5581115
1000000 100000 4300844.00000000000000000000 4259263 4333736
10000000 100000 3469044.40000000000000000000 3407675 3551293
