#tuple num, gci, throughput, min, max
100 1 411052.40000000000000000000 408900 412031
100 10 411048.20000000000000000000 408477 413403
100 100 474802.60000000000000000000 471644 477236
100 1000 501133.80000000000000000000 498535 503738
100 10000 476282.40000000000000000000 463925 490701
100 100000 476585.00000000000000000000 473030 478185

1000 1 1591800.00000000000000000000 1578201 1599112
1000 10 1589225.60000000000000000000 1580362 1599492
1000 100 1689761.40000000000000000000 1679304 1704665
1000 1000 1594413.00000000000000000000 1567649 1611676
1000 10000 1628348.80000000000000000000 1607903 1638800
1000 100000 1594338.40000000000000000000 1582777 1610993

10000 1 2150547.20000000000000000000 2139498 2154698
10000 10 2139828.80000000000000000000 2115656 2147515
10000 100 2146713.20000000000000000000 2138736 2159455
10000 1000 2033005.00000000000000000000 2017229 2043560
10000 10000 2021583.00000000000000000000 1999927 2047312
10000 100000 1948287.00000000000000000000 1901729 1991393

100000 1 2189037.20000000000000000000 2155305 2200504
100000 10 2176859.80000000000000000000 2168288 2184989
100000 100 2154929.60000000000000000000 2141708 2166302
100000 1000 2117141.80000000000000000000 2100807 2140229
100000 10000 2054191.20000000000000000000 2023772 2070528
100000 100000 1975993.20000000000000000000 1969798 1987413

1000000 1 2095889.40000000000000000000 2080448 2115232
1000000 10 2102516.80000000000000000000 2086787 2124045
1000000 100 2112232.80000000000000000000 2096971 2119163
1000000 1000 2020323.80000000000000000000 1996288 2044315
1000000 10000 2022679.20000000000000000000 1992893 2068089
1000000 100000 1870960.00000000000000000000 1848633 1883572

10000000 1 2041114.00000000000000000000 2030979 2051990
10000000 10 2045171.20000000000000000000 2023692 2058037
10000000 100 2077483.20000000000000000000 2056877 2097683
10000000 1000 2038598.80000000000000000000 1973013 2083066
10000000 10000 1887853.00000000000000000000 1867808 1918277
10000000 100000 1794389.20000000000000000000 1786257 1799562

