#Worker threads, throughput, min, max
1 0 0 0
4  7.83782e-06 7.83782e-06
8  2.24429e-05 2.24429e-05
12  5.71718e-05 5.71718e-05
16  7.79576e-05 7.79576e-05
20  9.38918e-05 9.38918e-05
24 .00013976640000000000 0.000123858 0.000148733
