#tuple num, gci, throughput, min, max
100 1 44.75600000000000000000 44.756 44.756
100 10 44.71500000000000000000 44.715 44.715
100 100 44.15100000000000000000 44.151 44.151
100 1000 42.44600000000000000000 42.446 42.446
100 10000 42.97000000000000000000 42.970 42.970
100 100000 46.10600000000000000000 46.106 46.106

1000 1 42.25500000000000000000 42.255 42.255
1000 10 42.21800000000000000000 42.218 42.218
1000 100 41.81400000000000000000 41.814 41.814
1000 1000 38.60300000000000000000 38.603 38.603
1000 10000 45.02500000000000000000 45.025 45.025
1000 100000 48.63600000000000000000 48.636 48.636

10000 1 39.25800000000000000000 39.258 39.258
10000 10 39.29000000000000000000 39.290 39.290
10000 100 39.21300000000000000000 39.213 39.213
10000 1000 36.41200000000000000000 36.412 36.412
10000 10000 43.80500000000000000000 43.805 43.805
10000 100000 48.29200000000000000000 48.292 48.292

100000 1 37.31100000000000000000 37.311 37.311
100000 10 37.12300000000000000000 37.123 37.123
100000 100 35.52400000000000000000 35.524 35.524
100000 1000 35.17600000000000000000 35.176 35.176
100000 10000 42.91100000000000000000 42.911 42.911
100000 100000 45.11100000000000000000 45.111 45.111

1000000 1 46.99000000000000000000 46.990 46.990
1000000 10 47.43900000000000000000 47.439 47.439
1000000 100 46.43400000000000000000 46.434 46.434
1000000 1000 42.18200000000000000000 42.182 42.182
1000000 10000 61.63600000000000000000 61.636 61.636
1000000 100000 63.29000000000000000000 63.290 63.290

10000000 1 60.62200000000000000000 60.622 60.622
10000000 10 60.57700000000000000000 60.577 60.577
10000000 100 59.01700000000000000000 59.017 59.017
10000000 1000 53.41100000000000000000 53.411 53.411
10000000 10000 73.00500000000000000000 73.005 73.005
10000000 100000 73.78300000000000000000 73.783 73.783

