#worker threads, abort_rate, min, max
#./silo.exe 5000000 10 thread 95 0 ON 2400 40 3
1 0 0 0
3  5.90546e-07 5.90546e-07
7  2.04094e-06 2.04094e-06
11  3.77e-06 3.77e-06
15  4.046e-06 4.046e-06
19  5.60385e-06 5.60385e-06
23  5.75796e-06 5.75796e-06
